SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
2728,San Patricio County,Texas,805,"65,600","Corpus Christi, TX Metropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2729,San Saba County,Texas,2759,"6,002",,
2730,Schleicher County,Texas,2957,"3,264",,
2731,Scurry County,Texas,1968,"17,126","Snyder, TX Micropolitan Statistical Area",
2732,Shackelford County,Texas,2952,"3,356",,
2733,Shelby County,Texas,1563,"26,019",,
2734,Sherman County,Texas,2972,"3,073",,
2735,Smith County,Texas,293,"214,821","Tyler, TX Metropolitan Statistical Area","Tyler-Jacksonville, TX Combined Statistical Area"
2736,Somervell County,Texas,2556,"8,598","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2737,Starr County,Texas,844,"61,615","Rio Grande City, TX Micropolitan Statistical Area","McAllen-Edinburg, TX Combined Statistical Area"
2738,Stephens County,Texas,2475,"9,464",,
2739,Sterling County,Texas,3101,"1,191",,
2740,Stonewall County,Texas,3084,"1,475",,
2741,Sutton County,Texas,2911,"3,950",,
2742,Swisher County,Texas,2606,"7,891",,
2743,Tarrant County,Texas,15,"1,880,153","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2744,Taylor County,Texas,470,"133,473","Abilene, TX Metropolitan Statistical Area",
2745,Terrell County,Texas,3112,917,,
2746,Terry County,Texas,2265,"12,613",,
2747,Throckmorton County,Texas,3078,"1,601",,
2748,Titus County,Texas,1366,"32,663","Mount Pleasant, TX Micropolitan Statistical Area",
2749,Tom Green County,Texas,529,"113,281","San Angelo, TX Metropolitan Statistical Area",
2750,Travis County,Texas,37,"1,095,584","Austin-Round Rock, TX Metropolitan Statistical Area",
2751,Trinity County,Texas,2152,"14,309","Huntsville, TX Micropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2752,Tyler County,Texas,1756,"21,458",,
2753,Upshur County,Texas,1173,"39,995","Longview, TX Metropolitan Statistical Area","Longview-Marshall, TX Combined Statistical Area"
2754,Upton County,Texas,2955,"3,283",,
2755,Uvalde County,Texas,1538,"26,752","Uvalde, TX Micropolitan Statistical Area",
2756,Val Verde County,Texas,1002,"48,705","Del Rio, TX Micropolitan Statistical Area",
2757,Van Zandt County,Texas,947,"52,427",,
2758,Victoria County,Texas,640,"89,269","Victoria, TX Metropolitan Statistical Area","Victoria-Port Lavaca, TX Combined Statistical Area"
2759,Walker County,Texas,776,"68,408","Huntsville, TX Micropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2760,Waller County,Texas,1079,"44,357","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2761,Ward County,Texas,2369,"10,879",,
2762,Washington County,Texas,1326,"34,093","Brenham, TX Micropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2763,Webb County,Texas,255,"259,172","Laredo, TX Metropolitan Statistical Area",
2764,Wharton County,Texas,1145,"41,285","El Campo, TX Micropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2765,Wheeler County,Texas,2794,"5,626",,
2766,Wichita County,Texas,477,"131,559","Wichita Falls, TX Metropolitan Statistical Area",
2767,Wilbarger County,Texas,2226,"13,258","Vernon, TX Micropolitan Statistical Area",
2768,Willacy County,Texas,1728,"22,058","Raymondville, TX Micropolitan Statistical Area","Brownsville-Harlingen-Raymondville, TX Combined Statistical Area"
2769,Williamson County,Texas,146,"456,232","Austin-Round Rock, TX Metropolitan Statistical Area",
2770,Wilson County,Texas,1078,"44,370","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2771,Winkler County,Texas,2652,"7,330",,
2772,Wise County,Texas,858,"60,432","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2773,Wood County,Texas,1130,"42,022",,
2774,Yoakum County,Texas,2596,"8,075",,
2775,Young County,Texas,1906,"18,339",,
2776,Zapata County,Texas,2153,"14,290","Zapata, TX Micropolitan Statistical Area",
2777,Zavala County,Texas,2300,"11,961",,
2778,Beaver County,Utah,2724,"6,501",,
2779,Box Elder County,Utah,975,"50,171","Ogden-Clearfield, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2780,Cache County,Utah,523,"115,520","Logan, UT-ID Metropolitan Statistical Area",
2781,Carbon County,Utah,1772,"21,246","Price, UT Micropolitan Statistical Area",
2782,Daggett County,Utah,3105,"1,090",,
2783,Davis County,Utah,207,"315,809","Ogden-Clearfield, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2784,Duchesne County,Utah,1864,"19,244",,
2785,Emery County,Utah,2364,"10,933",,
2786,Garfield County,Utah,2834,"5,095",,
2787,Grand County,Utah,2489,"9,328",,
2788,Iron County,Utah,1034,"46,750","Cedar City, UT Micropolitan Statistical Area",
2789,Juab County,Utah,2409,"10,341","Provo-Orem, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2790,Kane County,Utah,2658,"7,221",,
2791,Millard County,Utah,2269,"12,569",,
2792,Morgan County,Utah,2454,"9,821","Ogden-Clearfield, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2793,Piute County,Utah,3081,"1,524",,
2794,Rich County,Utah,3030,"2,267",,
2795,Salt Lake County,Utah,39,"1,063,842","Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2796,San Juan County,Utah,2110,"14,965",,
2797,Sanpete County,Utah,1499,"27,906",,
2798,Sevier County,Utah,1790,"20,784",,
2799,Summit County,Utah,1222,"38,003","Summit Park, UT Micropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2800,Tooele County,Utah,866,"59,870","Salt Lake City, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2801,Uintah County,Utah,1311,"34,524","Vernal, UT Micropolitan Statistical Area",
2802,Utah County,Utah,120,"540,504","Provo-Orem, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2803,Wasatch County,Utah,1600,"25,273","Heber, UT Micropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2804,Washington County,Utah,437,"144,809","St. George, UT Metropolitan Statistical Area",
2805,Wayne County,Utah,2997,"2,737",,
2806,Weber County,Utah,274,"236,640","Ogden-Clearfield, UT Metropolitan Statistical Area","Salt Lake City-Provo-Orem, UT Combined Statistical Area"
2807,Addison County,Vermont,1254,"36,745",,
2808,Bennington County,Vermont,1256,"36,697","Bennington, VT Micropolitan Statistical Area",
2809,Caledonia County,Vermont,1409,"31,121",,
2810,Chittenden County,Vermont,398,"158,504","Burlington-South Burlington, VT Metropolitan Statistical Area",
2811,Essex County,Vermont,2742,"6,226","Berlin, NH-VT Micropolitan Statistical Area",
2812,Franklin County,Vermont,1007,"48,214","Burlington-South Burlington, VT Metropolitan Statistical Area",
2813,Grand Isle County,Vermont,2687,"6,983","Burlington-South Burlington, VT Metropolitan Statistical Area",
2814,Lamoille County,Vermont,1609,"24,958",,
2815,Orange County,Vermont,1453,"28,924","Claremont-Lebanon, NH-VT Micropolitan Statistical Area",
2816,Orleans County,Vermont,1526,"27,109",,
2817,Rutland County,Vermont,849,"60,869","Rutland, VT Micropolitan Statistical Area",
2818,Washington County,Vermont,869,"59,465","Barre, VT Micropolitan Statistical Area",
2819,Windham County,Vermont,1086,"43,985",,
2820,Windsor County,Vermont,901,"56,211","Claremont-Lebanon, NH-VT Micropolitan Statistical Area",
2821,Accomack County,Virginia,1346,"33,341",,
2822,Albemarle County,Virginia,572,"102,251","Charlottesville, VA Metropolitan Statistical Area",
2823,Alleghany County,Virginia,2027,"16,230",,
2824,Amelia County,Virginia,2256,"12,759","Richmond, VA Metropolitan Statistical Area",
2825,Amherst County,Virginia,1380,"32,384","Lynchburg, VA Metropolitan Statistical Area",
2826,Appomattox County,Virginia,2097,"15,128","Lynchburg, VA Metropolitan Statistical Area",
2827,Arlington County,Virginia,287,"221,045","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2828,Augusta County,Virginia,739,"73,658","Staunton-Waynesboro, VA Metropolitan Statistical Area","Harrisonburg-Staunton-Waynesboro, VA Combined Statistical Area"
2829,Bath County,Virginia,2863,"4,652",,
2830,Bedford County,Virginia,764,"69,590","Lynchburg, VA Metropolitan Statistical Area",
2831,Bland County,Virginia,2704,"6,738",,
2832,Botetourt County,Virginia,1350,"33,154","Roanoke, VA Metropolitan Statistical Area",
2833,Brunswick County,Virginia,1980,"17,010",,
2834,Buchanan County,Virginia,1650,"23,859",,
2835,Buckingham County,Virginia,1973,"17,088","Charlottesville, VA Metropolitan Statistical Area",
2836,Campbell County,Virginia,912,"55,163","Lynchburg, VA Metropolitan Statistical Area",
2837,Caroline County,Virginia,1451,"28,972","Richmond, VA Metropolitan Statistical Area",
2838,Carroll County,Virginia,1430,"29,851",,
2839,Charles City County,Virginia,2664,"7,157","Richmond, VA Metropolitan Statistical Area",
2840,Charlotte County,Virginia,2278,"12,404",,
2841,Chesterfield County,Virginia,201,"323,856","Richmond, VA Metropolitan Statistical Area",
2842,Clarke County,Virginia,2147,"14,323","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2843,Craig County,Virginia,2827,"5,213","Roanoke, VA Metropolitan Statistical Area",
2844,Culpeper County,Virginia,1016,"47,911","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2845,Cumberland County,Virginia,2453,"9,849",,
2846,Dickenson County,Virginia,2065,"15,690","Big Stone Gap, VA Micropolitan Statistical Area",
2847,Dinwiddie County,Virginia,1494,"27,994","Richmond, VA Metropolitan Statistical Area",
2848,Essex County,Virginia,2343,"11,233",,
2849,Fairfax County,Virginia,36,"1,118,602","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2850,Fauquier County,Virginia,791,"66,542","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2851,Floyd County,Virginia,2080,"15,390","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",
2852,Fluvanna County,Virginia,1564,"25,967","Charlottesville, VA Metropolitan Statistical Area",
2853,Franklin County,Virginia,899,"56,411","Roanoke, VA Metropolitan Statistical Area",
2854,Frederick County,Virginia,687,"80,317","Winchester, VA-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2855,Giles County,Virginia,1987,"16,928","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",
2856,Gloucester County,Virginia,1250,"36,886","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
2857,Goochland County,Virginia,1764,"21,347","Richmond, VA Metropolitan Statistical Area",
2858,Grayson County,Virginia,2093,"15,183",,
2859,Greene County,Virginia,1885,"18,771","Charlottesville, VA Metropolitan Statistical Area",
2860,Greensville County,Virginia,2307,"11,851",,
2861,Halifax County,Virginia,1279,"35,849",,
2862,Hanover County,Virginia,582,"100,668","Richmond, VA Metropolitan Statistical Area",
2863,Henrico County,Virginia,208,"314,932","Richmond, VA Metropolitan Statistical Area",
2864,Henry County,Virginia,939,"52,969","Martinsville, VA Micropolitan Statistical Area",
2865,Highland County,Virginia,3032,"2,245",,
2866,Isle of Wight County,Virginia,1292,"35,399","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
2867,James City County,Virginia,770,"68,967","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
2868,King and Queen County,Virginia,2677,"7,046",,
2869,King George County,Virginia,1620,"24,500",,
2870,King William County,Virginia,2049,"15,981","Richmond, VA Metropolitan Statistical Area",
2871,Lancaster County,Virginia,2342,"11,236",,
2872,Lee County,Virginia,1588,"25,474",,
2873,Loudoun County,Virginia,193,"336,898","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2874,Louisa County,Virginia,1341,"33,430",,
2875,Lunenburg County,Virginia,2268,"12,588",,
2876,Madison County,Virginia,2231,"13,200",,
2877,Mathews County,Virginia,2528,"8,884","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
2878,Mecklenburg County,Virginia,1394,"31,749",,
2879,Middlesex County,Virginia,2371,"10,822",,
2880,Montgomery County,Virginia,609,"95,194","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",
2881,Nelson County,Virginia,2123,"14,827","Charlottesville, VA Metropolitan Statistical Area",
2882,New Kent County,Virginia,1866,"19,169","Richmond, VA Metropolitan Statistical Area",
2883,Northampton County,Virginia,2289,"12,226",,
2884,Northumberland County,Virginia,2284,"12,346",,
2885,Nottoway County,Virginia,2055,"15,830",,
2886,Orange County,Virginia,1321,"34,246",,
2887,Page County,Virginia,1649,"23,895",,
2888,Patrick County,Virginia,1898,"18,451",,
2889,Pittsylvania County,Virginia,830,"62,807","Danville, VA Micropolitan Statistical Area",
2890,Powhatan County,Virginia,1489,"28,123","Richmond, VA Metropolitan Statistical Area",
2891,Prince Edward County,Virginia,1679,"23,238",,
2892,Prince George County,Virginia,1248,"36,941","Richmond, VA Metropolitan Statistical Area",
2893,Prince William County,Virginia,159,"430,289","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2894,Pulaski County,Virginia,1307,"34,736","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",
2895,Rappahannock County,Virginia,2645,"7,456","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2896,Richmond County,Virginia,2514,"9,059",,
2897,Roanoke County,Virginia,622,"92,901","Roanoke, VA Metropolitan Statistical Area",
2898,Rockbridge County,Virginia,1715,"22,394",,
2899,Rockingham County,Virginia,706,"77,391","Harrisonburg, VA Metropolitan Statistical Area","Harrisonburg-Staunton-Waynesboro, VA Combined Statistical Area"
2900,Russell County,Virginia,1471,"28,445",,
2901,Scott County,Virginia,1696,"22,781","Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2902,Shenandoah County,Virginia,1120,"42,583",,
2903,Smyth County,Virginia,1397,"31,718",,
2904,Southampton County,Virginia,1902,"18,409",,
2905,Spotsylvania County,Virginia,489,"125,684","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2906,Stafford County,Virginia,467,"134,352","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2907,Surry County,Virginia,2695,"6,844",,
2908,Sussex County,Virginia,2299,"11,972","Richmond, VA Metropolitan Statistical Area",
2909,Tazewell County,Virginia,1082,"44,268","Bluefield, WV-VA Micropolitan Statistical Area",
2910,Warren County,Virginia,1219,"38,070","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
2911,Washington County,Virginia,910,"55,190","Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2912,Westmoreland County,Virginia,1949,"17,524",,
2913,Wise County,Virginia,1155,"40,918","Big Stone Gap, VA Micropolitan Statistical Area",
2914,Wythe County,Virginia,1442,"29,251",,
2915,York County,Virginia,796,"66,146","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
2916,"Alexandria, City of",Virginia,434,"146,294","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
